Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C14, C2",0805,3,100nF,
"C10, C9",1206,2,100nF 50V,
C11,0805,1,22nF 100V,
C12,0805,1,4.7uF,
C13,0805,1,2.2uF,
"C15, C17, C18, C26, C3, C4, C5, C6, C7",0805,9,0.1uF,
C16,0805,1,1uF,
C19,CAP-SMD_L3.2-W1.6-RD-C7171,1,10uF - TAJA106K016RNJ,C7171
"C20, C25",1206,2,10uF,
C21,CAP-SMD_L3.5-W2.8-R-RD,1,22uF Tant TAJB226K010RNJ,C7198
C22,0805,1,0.01uF,
C23,1206,1,100uF,
C24,CAP-SMD_BD6.3-L6.6-W6.6-FD,1,220uF-C3342,C3342
"C27, C28",CAP-SMD_BD10.0-L10.3-W10.3-LS11.3-FD,2,470uF -C3351,C3351
"C29, C30, C31",0805,3,470nF 16V,
C8,C0402,1,100nF 16V,
"D1, D4",SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR,2,PSM712-LF-T7,C32677
D2,0603,1,Fault_LED,
D3,0603,1,LIPO_ALERT,
D5,0805,1,STATUS_1_LED,
D6,0603,1,STATUS_2_LED,
D8,0805,1,LED,
D9,SMA_L4.3-W2.6-LS5.2-RD,1,SS34,
GND,PWR_THRU_HOLE,1,BAT_GND,
H1,HDR-TH_48P-P2.54-V-F-R2-C24-S2.54,1,HC-PM254-8.5H-2X24PZ,C27985239
J1,USB-C_SMD-TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,
L1,IND-SMD_L12.5-W12.5_RLF12545T,1,15uH,
MOTOR U,PWR_THRU_HOLE,1,Motor_Phase_U,
MOTOR V,PWR_THRU_HOLE,1,Motor_Phase_V,
MOTOR W,PWR_THRU_HOLE,1,Motor_Phase_W,
PWR IN,PWR_THRU_HOLE,1,BAT_IN,
"Q1, Q2, Q3, Q4, Q5, Q6",Infineon_PG-TDSON-8_6.15x5.15mm,6,N_FET_ISC0602NLS,
"R1, R11, R15, R17, R19, R21, R4, R5, R6, R7, R8, R9",0805,12,10K,
"R10, R12",0603,2,5.1K,
"R13, R14, R18, R2, R3",0805,5,150,
R16,0805,1,47,
R20,0805,1,1K,
R22,0805,1,3.3K,
"R23, R24, R25, R26, R27, R28",0805,6,2.2,
"R29, R30, R31",2512,3,10mR,
"SW1, SW2",SW-SMD_4P-L5.2-W5.2-P3.70-LS6.5,2,SW_MEC_5E,
TP1,PAD_TP,1,SPI_EN,
TP10,Small_Pad_4mm,1,5V_ENCODER,
TP11,Small_Pad_4mm,1,U_ENCODER,
TP12,Small_Pad_4mm,1,V_ENCODER,
TP13,Small_Pad_4mm,1,W/PWM_ENCODER,
"TP19, TP20",PAD_TP,2,L_G,
TP2,Small_Pad_4mm,1,CSN_ENCODER,
TP21,PAD_TP,1,LOW_GATE,
"TP22, TP23, TP24",PAD_TP,3,HIGH_GATE,
TP25,PAD_TP,1,D_U,
TP26,PAD_TP,1,D_V,
TP27,PAD_TP,1,D_W,
TP3,Small_Pad_4mm,1,CLK_ENCODER,
TP4,Small_Pad_4mm,1,MISO_ENCODER,
TP5,Small_Pad_4mm,1,MOSI_ENCODER,
TP6,Small_Pad_4mm,1,GND_ENCODER,
TP7,Small_Pad_4mm,1,B_ENCODER,
TP8,Small_Pad_4mm,1,A_ENCODER,
TP9,Small_Pad_4mm,1,I_ENCODER,
U1,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,
U2,TSSOP-14_L5.0-W4.4-P0.65-LS6.4-BL,1,AS5047P-ATSM_C962063,C962063
U3,TQFP-48_L7.0-W7.0-P0.50-LS9.0-BL-EP,1,TMC6200-TA-T,C465958
U4,SOT-223-3_TabPin2,1,AMS1117-3.3,
U5,ESOP-8_L4.9-W3.9-P1.27-LS6.0-TL-EP,1,TPS5430DDAR,C9864
