Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,113.0,-115.62,180.0,top
C13,470nF 16V,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,172.0,-109.0,90.0,top
C14,470nF 16V,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,172.0,-105.0,-90.0,top
C15,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,128.2,-114.03,-90.0,top
C17,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,150.5,-102.0,-90.0,top
C18,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,134.4,-91.4,0.0,top
C2,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,113.0,-113.25,180.0,top
C20,4.7uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,163.75,-97.0,90.0,top
C21,2.2uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,161.75,-97.0,90.0,top
C22,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,153.25,-105.75,180.0,top
C23,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,156.5,-113.97,-90.0,top
C25,0.1uF 50V,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,160.0,-113.97,-90.0,top
C26,0.1uF 50V,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,167.5,-113.97,-90.0,top
C27,100nF 16V,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,169.5,-113.97,90.0,top
C28,22nF 100V,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,162.5,-113.97,-90.0,top
C29,470nF 16V,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,172.0,-101.0,-90.0,top
C3,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,124.3,-125.3,90.0,top
C4,4.7uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,149.0,-134.07,-90.0,top
C5,4.7uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,146.73,-134.07,-90.0,top
C6,100uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,164.78,-118.75,0.0,top
C7,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,135.0,-123.0,0.0,top
C8,0.01uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,140.9,-128.9,0.0,top
C9,100uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,156.5,-119.0,0.0,top
CN1,DB910-7.62-3P,CONN-TH_3P-P7.62_DB910-7.62-3P,165.0,-67.0,180.0,top
CN2,XT60PW-M,CONN-TH_XT60PW-M,176.8,-119.00012,180.0,top
CN3,SM06B-GHS-TB(LF)(SN),CONN-TH_SM06B-GHS-TB-LF-SN,128.0,-63.75,180.0,top
CN4,SM03B-GHS-TB(LF)(SN),CONN-TH_SM03B-GHS-TB-LF-SN,139.0,-63.875,180.0,top
D1,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,134.0,-74.95,180.0,top
D2,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,134.0,-72.36,180.0,top
D3,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,133.8,-80.805,180.0,top
D4,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,133.8,-77.765,180.0,top
D6,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,139.0,-120.0,180.0,top
D9,USBLC6-2SC6,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,120.5,-119.5,-90.0,top
J1,USB_C_Receptacle_USB2.0_14P,USB-C_SMD-TYPE-C-31-M-12,114.375,-124.0,-90.0,top
R1,150,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,129.25,-80.75,0.0,top
R10,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,134.4,-132.0,0.0,top
R11,3.3K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,134.4,-135.0,180.0,top
R12,2.2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,174.75,-98.0,0.0,top
R13,2.2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,173.055,-88.0,90.0,top
R15,2.2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,173.055,-92.0,90.0,top
R16,2.2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,154.055,-88.0,90.0,top
R17,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,126.2,-114.06,90.0,top
R19,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,178.0,-103.0,0.0,top
R2,150,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,129.25,-77.75,0.0,top
R20,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,178.0,-105.0,0.0,top
R21,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,178.0,-107.0,0.0,top
R22,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,178.0,-109.0,0.0,top
R23,2.2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,155.0,-92.5,90.0,top
R24,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,154.5,-102.0,90.0,top
R25,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,152.5,-102.0,-90.0,top
R26,2.2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,137.055,-88.0,90.0,top
R27,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,154.5,-114.0,-90.0,top
R28,47,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,164.5,-114.0,90.0,top
R3,150,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,129.25,-74.75,0.0,top
R4,150,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,129.25,-71.75,0.0,top
R5,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,164.75,-122.75,180.0,top
R6,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,164.75,-120.75,0.0,top
R7,150,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,135.0,-120.0,0.0,top
R8,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,156.4625,-121.0,180.0,top
R9,3.3K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,156.4625,-123.0,0.0,top
SW1,SW_MEC_5E,SW-SMD_4P-L5.2-W5.2-P3.70-LS6.5,137.25,-114.0,0.0,top
SW2,SW_MEC_5E,SW-SMD_4P-L5.2-W5.2-P3.70-LS6.5,137.25,-108.0,180.0,top
TP14,TestPoint,SMD_RH-5015,134.3,-94.9,180.0,top
TP15,TestPoint,SMD_RH-5015,139.1,-98.4,180.0,top
TP16,TestPoint,SMD_RH-5015,134.4,-98.4,180.0,top
TP19,LOW_GATE,SMD_RH-5015,152.0,-92.5,-90.0,top
TP2,LOW_GATE,SMD_RH-5015,180.5,-98.75,-90.0,top
TP22,HIGH_GATE,SMD_RH-5015,137.055,-84.0,90.0,top
TP25,OUTPUT_POINT,SMD_RH-5015,145.0,-77.0,90.0,top
TP3,HIGH_GATE,SMD_RH-5015,173.055,-84.0,90.0,top
TP4,OUTPUT_POINT,SMD_RH-5015,184.2,-77.0,-90.0,top
TP5,LOW_GATE,SMD_RH-5015,170.055,-92.0,90.0,top
TP6,HIGH_GATE,SMD_RH-5015,154.055,-84.0,90.0,top
TP7,OUTPUT_POINT,SMD_RH-5015,160.0,-77.0,90.0,top
U10,SRV05-4-HXY,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,123.75,-69.75,0.0,top
U11,SRV05-4-HXY,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,139.0,-69.5,0.0,top
U13,SRV05-4-HXY,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,114.0,-73.0,90.0,top
U14,SRV05-4-HXY,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,119.0,-73.0,90.0,top
U4,TPS5430DDAR,ESOP-8_L4.9-W3.9-P1.27-LS6.0-TL-EP,141.0,-133.31,0.0,top
